sender_id,recipient_id,amount,date,full_recipient_name,telephone,email,city,country,promotion_id,promotion,responded,android,desktop,iphone
184,1,$42.48,2024-01-05,Jamie Bright,533-849-3913,Jamie.Bright@example.com,Montreal,Canada,,,,Yes,No,No
609,5,$137.71,2024-01-19,Beatrix Everett,194-640-2758,Beatrix.Everett@example.com,Paris,France,,,,Yes,No,No
982,9,$28.56,2023-10-26,Asa Vazquez,504-421-4485,Asa.Vazquez@example.com,Toronto,Canada,,,,Yes,No,No
871,12,$49.84,2023-06-19,Hussain Santos,379-352-6285,Hussain.Santos@example.com,San Diego,USA,,,,No,Yes,Yes
952,20,$73.27,2024-03-10,Donald Stone,730-260-4630,Donald.Stone@example.com,London,United Kingdom,,,,Yes,Yes,No
473,31,$9.97,2023-12-08,Bradley Butler,937-172-2269,Bradley.Butler@example.com,Montreal,Canada,18,RedBull,YES,No,No,Yes
473,31,$9.97,2023-12-08,Bradley Butler,937-172-2269,Bradley.Butler@example.com,Montreal,Canada,121,Kraft Cheese,NO,No,No,Yes
323,37,$22.32,2023-08-03,Lili Schroeder,640-348-2128,Lili.Schroeder@example.com,Toronto,Canada,,,,Yes,No,Yes
537,37,$1.52,2023-01-05,Lili Schroeder,640-348-2128,Lili.Schroeder@example.com,Toronto,Canada,,,,Yes,No,Yes
173,38,$106.30,2024-02-04,Jeremiah Martin,277-350-5557,Jeremiah.Martin@example.com,London,United Kingdom,,,,Yes,No,No
42,41,$135.10,2024-03-09,Cody Riley,872-906-9681,Cody.Riley@example.com,London,United Kingdom,,,,Yes,Yes,Yes
1,52,$25.02,2023-06-05,Amaan Rangel,837-435-2302,Amaan.Rangel@example.com,Montreal,Canada,,,,Yes,No,Yes
671,54,$62.11,2024-03-31,Bethany Santana,924-146-4189,Bethany.Santana@example.com,New York,USA,,,,No,No,Yes
897,54,$80.48,2023-10-28,Bethany Santana,924-146-4189,Bethany.Santana@example.com,New York,USA,,,,No,No,Yes
430,55,$36.62,2024-01-01,Ernest Martinez,448-597-4211,Ernest.Martinez@example.com,San Diego,USA,,,,Yes,Yes,No
746,55,$65.61,2023-06-30,Ernest Martinez,448-597-4211,Ernest.Martinez@example.com,San Diego,USA,,,,Yes,Yes,No
116,61,$62.87,2023-05-09,Honor Jacobson,624-535-4606,Honor.Jacobson@example.com,San Francisco,USA,,,,Yes,Yes,No
467,64,$27.35,2023-05-29,Jason Snyder,202-632-2346,Jason.Snyder@example.com,San Francisco,USA,,,,Yes,No,No
322,64,$11.62,2022-02-23,Jason Snyder,202-632-2346,Jason.Snyder@example.com,San Francisco,USA,,,,Yes,No,No
986,66,$5.49,2023-05-12,Aisha Webb,447-728-9592,Aisha.Webb@example.com,San Francisco,USA,,,,Yes,Yes,No
1000,69,$21.20,2023-02-23,Saoirse Keller,699-966-4749,Saoirse.Keller@example.com,San Francisco,USA,132,Gatorade,YES,Yes,Yes,Yes
94,76,$15.65,2022-05-09,Taha Casey,581-100-2001,Taha.Casey@example.com,Los Angeles,USA,,,,Yes,Yes,No
393,78,$56.54,2024-02-18,Angela Mcmillan,868-463-1850,Angela.Mcmillan@example.com,London,United Kingdom,81,Netflix,NO,Yes,No,No
979,80,$81.89,2022-11-06,Cheryl Owens,812-775-9881,Cheryl.Owens@example.com,San Francisco,USA,,,,Yes,No,Yes
570,84,$1.00,2022-02-09,Safia Ayers,512-649-7865,Safia.Ayers@example.com,San Francisco,USA,,,,No,No,Yes
54,88,$1.00,2024-03-24,Humza Velez,931-502-4660,Humza.Velez@example.com,New York,USA,,,,No,Yes,Yes
870,95,$16.90,2023-08-21,Miles Fisher,702-511-6770,Miles.Fisher@example.com,San Diego,USA,,,,Yes,Yes,Yes
526,96,$36.56,2024-03-01,Nadia Neal,255-874-4270,Nadia.Neal@example.com,New York,USA,,,,Yes,Yes,Yes
