transaction_id,store,phone,item,quantity,price_per_item,total_item_amount,total_transaction_amount
1000,Trader Tales,233-159-4158,Kraft Cheese,1,5,5,17
1000,Trader Tales,233-159-4158,Pepsi,1,4,4,17
1000,Trader Tales,233-159-4158,Oreo,2,4,8,17
1001,PetPals Mart,725-427-2794,Colgate,1,2,2,2
1002,Trader Tales,659-190-9378,Colgate,1,3,3,16
1002,Trader Tales,659-190-9378,Dove,1,2,2,16
1002,Trader Tales,659-190-9378,Netflix,1,11,11,16
1003,Urban Outfitters Loft,334-436-6254,Kraft Cheese,2,4,8,13
1003,Urban Outfitters Loft,334-436-6254,RedBull,1,3,3,13
1003,Urban Outfitters Loft,334-436-6254,Dove,2,1,2,13
1004,PetPals Mart,615-102-4849,Pepsi,1,3,3,13
1004,PetPals Mart,615-102-4849,Netflix,1,10,10,13
1005,Urban Outfitters Loft,294-365-8364,Pepsi,1,3,3,7
1005,Urban Outfitters Loft,294-365-8364,Kit-Kat,2,2,4,7
1006,BestChoice Buy,634-813-9351,Netflix,1,11,11,17
1006,BestChoice Buy,634-813-9351,Colgate,2,3,6,17
1007,SparkMart,273-616-5739,Kit-Kat,2,4,8,22
1007,SparkMart,273-616-5739,RedBull,1,5,5,22
1007,SparkMart,273-616-5739,Dove,3,3,9,22
1008,SparkMart,839-124-9420,Colgate,1,4,4,13
1008,SparkMart,839-124-9420,RedBull,1,5,5,13
1008,SparkMart,839-124-9420,Kit-Kat,1,4,4,13
1009,Trader Tales,645-829-7495,Kraft Cheese,1,5,5,5
1010,Trader Tales,444-295-8051,Netflix,1,11,11,19
1010,Trader Tales,444-295-8051,RedBull,1,4,4,19
1010,Trader Tales,444-295-8051,Pepsi,1,4,4,19
1011,Trader Tales,520-305-7264,Colgate,1,3,3,18
1011,Trader Tales,520-305-7264,Pepsi,1,4,4,18
1011,Trader Tales,520-305-7264,Netflix,1,11,11,18
1012,PetPals Mart,891-887-3513,Colgate,1,2,2,32
1012,PetPals Mart,891-887-3513,Netflix,3,10,30,32
1013,BestChoice Buy,114-507-5478,RedBull,1,4,4,11
1013,BestChoice Buy,114-507-5478,Colgate,1,3,3,11
1013,BestChoice Buy,114-507-5478,Dove,2,2,4,11
1014,BestChoice Buy,558-608-9550,Kraft Cheese,1,5,5,5
1015,BestChoice Buy,372-218-6551,Colgate,1,3,3,17
1015,BestChoice Buy,372-218-6551,Kraft Cheese,2,5,10,17
1015,BestChoice Buy,372-218-6551,Pepsi,1,4,4,17
1016,Urban Outfitters Loft,441-847-1955,Pepsi,3,3,9,22
1016,Urban Outfitters Loft,441-847-1955,Dove,3,1,3,22
1016,Urban Outfitters Loft,441-847-1955,Netflix,1,10,10,22
1017,PetPals Mart,924-146-4189,Dove,1,1,1,1
1018,Urban Outfitters Loft,512-600-6692,Dove,2,1,2,2
1019,Trader Tales,362-464-9875,Pepsi,1,4,4,10
1019,Trader Tales,362-464-9875,Colgate,2,3,6,10
1020,SparkMart,101-165-2021,Netflix,1,12,12,22
1020,SparkMart,101-165-2021,Pepsi,2,5,10,22
1021,Urban Outfitters Loft,563-494-9026,Colgate,1,2,2,2
1022,Trader Tales,918-588-9531,RedBull,2,4,8,13
1022,Trader Tales,918-588-9531,Kraft Cheese,1,5,5,13
1023,PetPals Mart,315-892-7127,Kit-Kat,3,2,6,13
1023,PetPals Mart,315-892-7127,Pepsi,2,3,6,13
1023,PetPals Mart,315-892-7127,Dove,1,1,1,13
1024,Trader Tales,640-390-3390,Netflix,2,11,22,34
1024,Trader Tales,640-390-3390,RedBull,3,4,12,34
1025,Targeted Treasures,626-458-8110,RedBull,2,5,10,10
1026,BestChoice Buy,993-541-7464,Colgate,2,3,6,10
1026,BestChoice Buy,993-541-7464,RedBull,1,4,4,10
1027,Urban Outfitters Loft,116-866-3838,Pepsi,2,3,6,14
1027,Urban Outfitters Loft,116-866-3838,Dove,2,1,2,14
1027,Urban Outfitters Loft,116-866-3838,RedBull,2,3,6,14
1028,Trader Tales,776-243-3725,Dove,1,2,2,2
1029,PetPals Mart,553-407-1049,Pepsi,1,3,3,16
1029,PetPals Mart,553-407-1049,RedBull,1,3,3,16
1029,PetPals Mart,553-407-1049,Netflix,1,10,10,16
1030,Urban Outfitters Loft,782-806-6417,Oreo,1,3,3,3
1031,Urban Outfitters Loft,271-963-2123,Dove,1,1,1,1
1032,Urban Outfitters Loft,915-320-3214,Colgate,1,2,2,2
1033,PetPals Mart,953-386-1321,Coca-Cola,1,2,2,10
1033,PetPals Mart,953-386-1321,Pepsi,2,3,6,10
1033,PetPals Mart,953-386-1321,Colgate,1,2,2,10
1034,Urban Outfitters Loft,731-730-2543,Colgate,1,2,2,2
1035,PetPals Mart,544-944-1609,Colgate,1,2,2,2
1036,PetPals Mart,891-887-3513,RedBull,1,3,3,3
